"Wrangler F1";"SUV Y CAMIONETA";"285/45R19";"V";"9.5";"285";"739";"107"
"Wrangler F1";"SUV Y CAMIONETA";"225/55R17";"W";"7.0";"234";"681";"97"
"Wrangler HP";"SUV Y CAMIONETA";"255/55R18";"H";"8.0";"264";"737";"109"
"Wrangler HP";"SUV Y CAMIONETA";"255/70R15C";"S";"7.5";"260";"739";"112"
"Wrangler HP AW";"SUV Y CAMIONETA";"245/60R18";"H";"7.0";"248";"751";"105"
"Wrangler HP AW";"SUV Y CAMIONETA";"245/70R16";"H";"7.0";"248";"750";"107"
"Wrangler HP AW";"SUV Y CAMIONETA";"255/60R18";"H";"7.5";"260";"763";"112"
"Wrangler HP AW";"SUV Y CAMIONETA";"265/70R16";"H";"8.0";"272";"778";"112"
"Fortera";"SUV Y CAMIONETA";"225/75R15";"S";"6.0";"223";"719";"110/107"
"Fortera";"SUV Y CAMIONETA";"235/70R16";"S";"7.0";"240";"711";"110/107"
"Fortera";"SUV Y CAMIONETA";"235/75R15";"S";"6.5";"235";"733";"110/107"
"Fortera";"SUV Y CAMIONETA";"255/75R15";"S";"7.0";"255";"763";"110/107"
"Fortera";"SUV Y CAMIONETA";"265/70R16";"S";"8.0";"272";"778";"110/107"
"Fortera II";"SUV Y CAMIONETA";"235/65R17";"H";"7.0";"240";"738";"104"
"Wrangler RT/S";"SUV Y CAMIONETA";"175/80R14";"T";"5.0";"177";"636";"88"
"Wrangler RT/S";"UTILITARIO";"175/80R14";"T";"5.0";"177";"636";"88"
"Wrangler RT/S";"SUV Y CAMIONETA";"195R14C";"P";"5.5";"198";"656";"106"
"Wrangler RT/S";"UTILITARIO";"195R14C";"P";"5.5";"198";"656";"106"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT185R15";"Q";"5.5";"188";"674";"103/102"
"Wrangler RT/S";"UTILITARIO";"LT185R15";"Q";"5.5";"188";"674";"103/102"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT205/75R15";"S";"5.5";"203";"689";"99"
"Wrangler RT/S";"UTILITARIO";"LT205/75R15";"S";"5.5";"203";"689";"99"
