"Papaleguas G8";"Convencional";"GOODYEAR";"9.00-20";"(7.00)";"2575";"2300";"141/137";"J 100";"297";"1023"
"Papaleguas G8";"Convencional";"GOODYEAR";"10.00-20";"(7.50)";"3000";"2725";"146/143";"J 100";"316";"1059"
"Papaleguas G8";"Convencional";"GOODYEAR";"11.00-20";"(8.00)";"3250";"2900";"149/145";"J 100";"335";"1087"
"Papaleguas G8";"Convencional";"GOODYEAR";"11.00-22";"(8.00)";"3350";"3000";"150/146";"J 100";"335";"1135"
"G100 S&G";"Convencional";"GOODYEAR";"9.00-20";"(7.00)";"2500";"2300";"140/137";"J 100";"297";"1012"
"G100 S&G";"Convencional";"GOODYEAR";"10.00-20";"(7.50)";"3000";"2725";"146/143";"J 100";"316";"1050"
"G100 S&G";"Convencional";"GOODYEAR";"11.00-20";"(8.00)";"3250";"2900";"149/145";"J 100";"335";"1080"
"G100 S&G";"Convencional";"GOODYEAR";"12.00-20";"(8.50)";"3350";"3000";"149/146";"J 100";"360";"1120"
"CT150";"Convencional";"GOODYEAR";"9.00-20";"(7.00)";"2500";"2300";"140/137";"J 100";"297";"1012"
"CT150";"Convencional";"GOODYEAR";"10.00-20";"(7.50)";"3000";"2725";"146/143";"J 100";"316";"1050"
"CT150";"Convencional";"GOODYEAR";"11.00-20";"(8.00)";"3250";"2900";"149/145";"J 100";"335";"1080"
"CT150";"Convencional";"GOODYEAR";"12.00-20";"(8.50)";"3750";"3250";"154/149";"J 100";"360";"1120"
"G667";"Radial";"GOODYEAR";"10.00R20";"(7.50)";"3000";"2725";"146/143";"K 110";"316";"1052"
"G667";"Radial";"GOODYEAR";"11.00R22";"(8.00)";"3550";"3250";"152/149";"K 110";"329";"1132"
"G667";"Radial";"GOODYEAR";"11R22.5";"(8.25)";"3000";"2725";"146/143";"L 120";"314";"1050"
"G667";"Radial";"GOODYEAR";"275/80R22.5";"(8.25)";"3350";"3000";"149/146";"L 120";"311";"1012"
"G667";"Radial";"GOODYEAR";"295/80R22.5";"9.00 (8.25)";"3550";"3150";"152/148";"L 120";"335";"1044"
"G665";"Radial";"GOODYEAR";"215/75R17.5";"(6.00)";"1700";"1600";"126/124";"J 100";"237";"775,5"
"G665";"Radial";"GOODYEAR";"10.00R20";"(7.50)";"3075";"2725";"147/143";"J 100";"316";"1052"
"G665";"Radial";"GOODYEAR";"11.00R22";"(8.00)";"3550";"3250";"152/149";"J 100";"329";"1132"
"G665";"Radial";"GOODYEAR";"11R22.5";"(8.25)";"3150";"2900";"148/145";"J 100";"314";"1050"
"G665";"Radial";"GOODYEAR";"12R22.5";"(9.00)";"3550";"3150";"152/148";"J 100";"343";"1084"
"G665";"Radial";"GOODYEAR";"275/80R22.5";"(8.25)";"3350";"3000";"149/146";"J 100";"311";"1012"
"G665";"Radial";"GOODYEAR";"295/80R22.5";"9.00 (8.25)";"3550";"3150";"152/148";"K 110";"335";"1044"
"G658";"Radial";"GOODYEAR";"10.00R20";"(7.50)";"3000";"2725";"146/143";"K 110";"316";"1052"
"G658";"Radial";"GOODYEAR";"11.00R22";"(8.00)";"2650";"3250";"142/149";"K 110";"329";"1132"
"G658";"Radial";"GOODYEAR";"11R22.5";"(8.25)";"3000";"2725";"146/143";"L 120";"314";"1050"
"G658";"Radial";"GOODYEAR";"275/80R22.5";"(8.25)";"3350";"3000";"149/146";"L 120";"311";"1012"
"G658";"Radial";"GOODYEAR";"295/80R22.5";"9.00 (8.25)";"3550";"3150";"152/148";"L 120";"335";"1044"
